,steam_appid,name,developers,genres,released_date_1,detailed_description,pc_requirements_minimum,pc_requirements_recommended,mac_requirements_minimum,mac_requirements_recommended,linux_requirements_minimum,linux_requirements_recommended,price1,price2,price3,price4,price5
0,773120,Christmas Santa Troubles,Unknown Indie Devs,Adventure/Casual/Indie,"Apr 24, 2018","Santa was preparing to deliver presents for boys and girls all over the world, but nasty Grinch has broke Santa's sleigh and he fall down on the North pole and lost all presents, so Christmas celebration is under threat. Our brave character decides to return the presents and bring the celebration back. Enter the snow area to pick all presents on the levels to move to the next area. Collect all sweets during the game, avoid saws, spikes, icicles and falling to abyss - you will help main character come back all gifts and Christmas will be saved. Santa will prepare his sleigh and move on worldwide giving out presents for all kids on the planet. help Santa, save the Christmas!<br />
<br />
Key features:<br />
- Pretty graphics;<br />
- Casual gameplay;<br />
- Huge amount of levels;<br />
- Unforgettable adventure;<br />
- Easy to enjoy game mechanics;",Minimum:OS: Windows XP\Vista\7\8\10Processor: 2.0 GHZMemory: 2 MB RAMGraphics: 512mbDirectX: Version 9.0Storage: 150 MB available spaceAdditional Notes: Keyboard and Mouse,Not supported,Not supported,Not supported,Not supported,Not supported,67400,22200,86600,26800,0
1,820070,Cube Universe,Beosar UG (haftungsbeschränkt),Indie/RPG/Early Access,"Apr 24, 2018","Explore a nearly infinite universe, filled with planets of all kinds! Every world in this game is procedurally generated, including quests that you can do to advance your character up to level 50. Venture into deep caves to find precious materials to craft armor and weapons. Or simply spend your time exploring the epic landscapes with mountains that are as high as actual mountains, find a place where you want to stay and build your house or whatever you can imagine, with a building height of up to 2048 meters!This game is currently in Early Access and we are working hard to add new content and features as fast as we can. But first, let's see what you can already see and do in the game:PlanetsTerraEarth-like planet with oceans, forests, plains, deserts, jungles, tundras, taigas, etc.LunarMoon-like planet with some rare materials that cannot be found on other planets, e.g. lunar essence from lunar elementals and Mithril ore.QuestsProcedurally generated quests that are based on the local area, e.g. you have to kill raptors in the jungle to restore nature's balance or get some furs to keep someone warm in colder regions.Combat systemChoose a weapon instead of a class - your character can use any weapon, but you shouldn't change it too often since you will get out of practice. Currently, only fire staffs are supported.CraftingCraft a variety of things, like armor, food, building materials, etc. There are a lot of professions and you can craft the basic stuff from all of them, but can master only a few to craft advanced items like modules for your matter manipulator.BuildingBuild with smaller blocks than in other voxel games, giving your creativity more freedom. Blocks are only 0.5 meters big and you can build up to 2048 meters high, which is much higher than in most other similar games.Coming soon...Now, let's talk about all the planned features that will be added as development continues. The following list is ordered by the date we plan to add the mentioned features. Additionally, we will add more content for existing features, e.g. more quests and planet types.Dungeons and raidsMMO-like dungeons and raids that are procedurally generated. Imagine a pyramid with labyrinthine corridors that ultimately lead to bosses that will hopefully drop your desired item.Mods and user-generated contentSupport for easy modding, including a terrain editor for custom terrains with custom quests. Most of the content is already defined in XML files, so we will only have to add some logic that loads user-generated XML files and some code for interaction between different mods. Additionally, a Lua API will be added to support more advanced mods.Mods will not only be easy to create, but also easy to install - if you connect to a modded server, you will not even have to manually install mods since this will be done automatically.Space stationsFeeling lonely in space? No one can hear you scream? Well, then visit one of the space stations and meet with other folks! Trade your goods on the intergalactic market, buy upgrades for your spaceship and much more!Battles in spaceFight other players and NPCs in epic battles in space. Upgrade your spaceship or buy a better one to stand a chance against those filthy space pirates - or to be fast enough to outrun them.PvPFight other players on battlegrounds.Asteroid fieldsLooking for rare materials? Then asteroid fields are the place to go!","Minimum:Requires a 64-bit processor and operating systemOS: Windows Vista or laterProcessor: i5-3xxx or AMD FX 8xxxMemory: 8 GB RAMGraphics: nVidia GTX 760 or equivalent GPUDirectX: Version 10Storage: 1 GB available spaceAdditional Notes: Mouse with mousewheel, Internet connection (2 mbps) for online multiplayer","Recommended:Requires a 64-bit processor and operating systemOS: Windows Vista or laterProcessor: i7-3xxx or Ryzen 7Memory: 16 GB RAMGraphics: nVidia GTX 980 Ti or equivalent GPUDirectX: Version 10Storage: 1 GB available spaceAdditional Notes: Mouse with mousewheel, Internet connection (2 mbps) for online multiplayer",Minimum:Requires a 64-bit processor and operating system,Recommended:Requires a 64-bit processor and operating system,Minimum:Requires a 64-bit processor and operating system,Recommended:Requires a 64-bit processor and operating system,12000,72400,77600,0,26300
2,763610,Freakshow 2,KevinTheWolfy,Violent/Gore/Casual/Free to Play/Indie/Strategy/Early Access,"Apr 24, 2018","Description!Who doesn’t love the circus? Come play some circus game, Continue Michael’s story Or maybe see the circus freak! (Watch out, they bite!) Enjoy the Freakshow circus in all its glory!GameplayThere will be many fun iconic circus game to play! (Hammer game! Duck shoot! A maze! Cup game! And also Shoot the freak!) In story mode, there will be many puzzles to overcome! Also there will be a survival mode, a mode where you can fight with the freak and more!Plot!5 years ago, the Ringleader attacked and kidnapped Michael, now its time for Michael to face his demons once again to find his mom that went missing with him. Will he find her? Will he finally come to terms with his demons? The team!Developed by KevinTheWolfyWritten by KevinTheWolfyTested by KevinTheWolfy and friends!Art!Head artist: ----------------Freaks:  TytysiIntro freaks: fearis-nightsIntro rooms: Stu sheepMusicKomodo Chords (Musician)Myuuji (music)Voice actors!Ringleader by KevinTheWolfyThe bear by SpaghettoMain Freak by GlitchMichael by Sir the sirFoster parent by Sir the sirDr. Randy Peterson by FishingNet90Charlie Lewis by RabbitephMom by Hannah RosePolice by KevinTheWolfy","Minimum:OS: Win XP, 7, 8, Vista, 10Processor: 2 GHz Intel Pentium 4 or AMD Athlon or equivalentMemory: 2 GB RAMDirectX: Version 9.0Network: Broadband Internet connectionStorage: 300 MB available spaceSound Card: Anything that can play sounds!",Not supported,Not supported,Not supported,Not supported,Not supported,89700,89800,29800,0,0
3,843420,Supermarket VR and mini-games,Vicente Rosell Roig,Simulation,"Apr 24, 2018","With this games you can go shopping!<br />
You will have to buy the products from a shopping list, with money and a limited time.<br />
And you will also have to avoid colliding with the other people who are buying.<br />
You must complete different levels of difficulty in two different supermarkets. One smaller and easier to explore and another larger and more real.<br />
You can buy the products as if you felt inside a real supermarket, being able to take them with your hands and leave them in the cart.<br />
In addition you can take objects from a distance and you can move freely teleporting to different sections in a simple way.<br />
Finally, the different difficulties are unlocked as you overcome challenges.<br />
They have also added some mini games in which you can do what you've never done in a supermarket but you've always wanted: flip bottle challenge, basketball in carts, bowling with wine bottles, throwing tennis ball to product towers, and more ...","Minimum:OS: Windows 8.1Processor: Intel i3-6100 / AMD Ryzen 3 1200, FX4350Memory: 4 GB RAMGraphics: NVIDIA GTX 1050 Ti/AMD Radeon RX 470DirectX: Version 11Storage: 2 GB available space",Not supported,Not supported,Not supported,Not supported,Not supported,54100,0,66400,65400,0
4,841600,Aura of Worlds,Cognitive Forge,Action/Adventure/Indie/Strategy/Early Access,"Apr 24, 2018","Aura of worlds is a creative tactics rogue-lite platformer. Explore multiple worlds where you must utilise your creative abilities and wits to twist adversity to your advantage. Finding your way through these ever-changing death labyrinths.Escape flooding passages, outrun toxic pollen, face off against gargantuan bosses that have made entire mazes their home. Do you play defensively with the spear and energy shield, or swing into the fray with a boomerang and grapple hook? Do you scour the levels for potions and runes; or do you dive headfirst into the chaos?There are multiple solutions to every problem. For example, if there is a chest on the other side of a lava pit; do you...?: Grapple across:bend time and bounce off enemiesUse a boomerang to fetch the item:Blow up the pit with a grenade; setting everything nearby alight!:FeaturesOver 70 unique enemies and traps8+ randomized level themes. Such include tidal corridors filled with mines, rising lava, caverns lined with toxic and carnivorous plants...3 Primary world types (grotto, gardens, temple) each with their own traps, enemies, boss and special theme layouts.A plethora of creative abilities ranging from parkour to cloaking to warping time itself!Every object has multiple uses E.g. you can grab that lantern from the ceiling, and carry it around to use as a portable light source or improvised flaming molotov...Hand crafted pixel art and animations by Jessica Turner and Lachlan CartlandRegular updates (about once every 2-5 weeks)A unique musical score.Permanent progression: allows you to start from any world that you've unlocked.Whilst functionally complete; the game is under active development and more content is being added.",Minimum:OS: Windows 7 or higherProcessor: 2 GhzMemory: 1 GB RAMGraphics: Open GL Version 3.3 or higherStorage: 200 MB available spaceSound Card: AnyAdditional Notes: .Net framework required; Control Schemes: Mouse and Keyboard as well as Xbox Controller,Recommended:Memory: 2 GB RAM,Not supported,Not supported,Not supported,Not supported,78000,71700,0,83500,21600
5,743230,Baseball Mogul 2018,"Sports Mogul, Inc.",Casual/Simulation/Sports/Strategy,"Apr 24, 2018","What is Baseball Mogul?Baseball Mogul® begins in any year you choose, from 1900 to present day with the full roster of your favorite team -- or an entirely fictional team of your own creation. As General Manager (GM), your job is to build the best lineup of players to take your team to the World Series. You can make complex player trades and sign players to multi-year contracts as you build your team, but you'll have to compete with the other General Managers, and negotiate with the player's agents. As GM you also have to manage all the finances for your ball club, making sure that the team doesn't go bankrupt. Raise revenue for your team by setting the price of tickets and concessions, and selling the TV broadcast rights, while you manage your team's expenses by setting the budget for your farm system, player scouts, medical staff, and player payroll. But be careful, because fans can be fickle if your team doesn't win or if your tickets become too expensive! If you don’t succeed in your first year, you get a new chance with Baseball Mogul’s in-depth amateur draft. You pick and choose from the best high school and college talent around the world. If your new players are good enough, have them join your team right away, otherwise send them to your minor league franchise for training and improvement. Your involvement as GM does not stop in the team's front office. Baseball Mogul gives you complete control over your team on the field. You start by setting the starting defense, batting order and pitching rotation for your team. On game day, you choose your level of involvement. You can retire to the luxury box and make calls to the dugout as needed. Or you can take control of each player, choosing what pitches to throw and when to bunt or go for an extra base. A powerful game engine simulates each pitch of the game based on customized player ratings and over 100 years of historical data, assuring you the maximum realism possible! Baseball Mogul is designed to help you manage your team over many simulated years. Manage your team one day at a time, or let the computer simulate weeks or months at a stretch so you can play for virtual years or decades. As your players age, their abilities mature and decline realistically. Don't forget to build your team for the long term, rather than spending all your money on free agents this season. Watch your team rise and fall in the standings, watch your bank statement, and read the news stories to stay on top of what's happening with all the ball clubs in both leagues. If you pick the right players, manage your finances well, and stick to a winning strategy, your team may win the Championship, and you too may become a Baseball Mogul!Backwards CompatibilityBaseball Mogul 2018 automatically loads databases from previous versions of Baseball Mogul",Minimum:OS: Windows VistaMemory: 512 MB RAMStorage: 1 GB available spaceAdditional Notes: Not a demanding game on GPU or CPU. Basic or old computers will run this just fine.,Recommended:OS: Windows 10Memory: 2 GB RAMStorage: 2 GB available space,Not supported,Not supported,Not supported,Not supported,90000,24700,0,37200,49900
6,844420,Demon's Rise - Lords of Chaos,Wave Light Games Inc.,Violent/Gore/Action/Indie/RPG/Strategy,"Apr 24, 2018","You are no hero … no prancing knight or scholarly wizard but a champion of the dark gods. As their chosen, you have command of legions of barbarians, beastmen and demons. Wield unholy strength, necromancy and hellfire to bring ruin to the civilized realms. Honor your gods on the bloody fields of battle in a quest for power and ascension.<br />
<br />
Demon’s Rise: Lords of Chaos is a turn-based, tactical RPG set in a brutal and unforgiving fantasy world. Taking place amidst a horrific war in the cold north, the campaign will see your party fight innumerable enemies, huge monsters and powerful sorcerers. Victory will require the tactical use of terrain, morale, formations and magic. Build an increasingly powerful war band, command demonic allies, and crush those that stand against you.<br />
<br />
•	Tactical Choices: Use terrain effects, cover and line of sight to gain an edge over your enemies. Employ spells to hinder powerful enemies, area effect damage to clear the field of lesser foes and buffs to strengthen your allies.<br />
  <br />
•	Build Your Party: Choose from 20 diverse character classes to build your war band. Your warriors will improve with every victory, becoming stronger and unlocking new powers and skills. Acts of courage and savagery on the battlefield will bring favor from your gods, which can mean the difference between glory and defeat.<br />
<br />
•	Collect Gear: Equip your warriors with powerful weapons, arcane objects, runic armor and legendary artifacts. There are thousands of items to find and collect, each with their own stat effects and background lore.<br />
<br />
•	Campaign: Fight through a lengthy campaign and numerous side quests that span more than 80 hours of play time. No level caps and the ability to replay levels at a harder difficulty add to the longevity.<br />
<br />
•	Engaging Lore: Immerse yourself in the history of Tarren, the world of Demon’s Rise. A land of broken empires and shattered kingdoms where armies of humans, demons and other races fight for bitter survival.","Minimum:Requires a 64-bit processor and operating systemOS: Windows® 7 & Later, 64-bitProcessor: Intel Core 2 Duo E4700 2.6 GHz or AMD Phenom 9950 Quad Core 2.6 GHzMemory: 2 GB RAMGraphics: 1GB ATI Radeon HD 5770, 1GB NVIDIA GeForce GTX 460 or betterDirectX: Version 10Storage: 4 GB available spaceSound Card: DirectX compatible sound card","Recommended:Requires a 64-bit processor and operating systemOS: Windows® 7 & Later, 64-bitProcessor: 3GHz Quad CoreMemory: 4 GB RAMGraphics: 2GB ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or betterDirectX: Version 10Storage: 4 GB available spaceSound Card: DirectX compatible sound card",Minimum:Requires a 64-bit processor and operating system,Recommended:Requires a 64-bit processor and operating system,Minimum:Requires a 64-bit processor and operating system,Recommended:Requires a 64-bit processor and operating system,20500,44400,61100,0,0
7,817160,Scary defense,WhackAKey Games,Action/Casual/Indie/Strategy,"Apr 24, 2018","Wave survivalFight your way through killing clowns, pigs and robbers in several maps across the globe.Gather points by killing enemies to buy more weapons and make killer explosions ","Minimum:OS: Windows 7 64-bitProcessor: Quad-core Intel or AMD processor, 2.5 GHz or faster.Memory: 8 GB RAMGraphics: NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher.DirectX: Version 11Storage: 4 GB available space",Recommended:OS: Windows 7 64-bitProcessor: i7 4790k Intel 4.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 750 series card or higher.DirectX: Version 12Storage: 4 GB available space,Not supported,Not supported,Not supported,Not supported,57800,97800,0,0,92500
8,798240,CRYEP,IMLBE/Dnovel,Action/Adventure/Indie/Massively Multiplayer/Early Access,"Apr 24, 2018","CRYEP is a hardcore two-dimensional action platformer that combines the genre of &quot;rogue&quot; and the mechanics of Contra. Actions take place in a parallel universe, year 3318. Go on an expedition and fight with alien enemies.<br />
<br />
About<br />
Actions take place in a parallel universe. Time 3318, mankind together with other races are waging wars on different continents that promote the development and use of cybernetic prostheses - this has allowed everyone to live for more than 300 years replacing part of the bodies. Scientists discover a habitable planet and send an expedition consisting of scientists and military, the flight lasts 557.7 light-years, a signal from the spacecraft that the landing has been made successfully after which communication with the ship is lost. On the ground they decide to send another expedition into which the son of the disappeared participant of the expedition gets. When landing the second expedition the ship makes an emergency landing and can not return to the ground. The crew decides to find the ship of the first expedition and spoil the spare parts for repairing their ship and find out what happened with the first expedition. We are playing for the second expedition.<br />
  <br />
Local Free for All - Up to 2 players can play in free for all mode on one computer - perfect for friendly face-offs. <br />
Local Free for All - Up to 2 players for VS mode. <br />
Here's what you can expect from CRYEP<br />
<br />
Regular patches and updates. <br />
More than 4 cards for VS mode.<br />
3 cards for single or chicken coop mode.<br />
2 Weapon type.<br />
<br />
Soon <br />
12 levels for single and cooperative games and final boss.<br />
Local Free for All - Up to 6 players for VS mode. <br />
More Weapons<br />
More Maps<br />
More Characters<br />
Ongoing Gameplay and Feature Improvements<br />
<br />
Later <br />
Full Player Profile and Statistics <br />
Novelty Items<br />
Even More Maps<br />
Even More Legends<br />
Ongoing Gameplay Improvements","Minimum:OS: Windows 7 or laterProcessor: intel x86 family, 2GhzMemory: 1 GB RAMGraphics: opengl 2.0 supported graphics cardDirectX: Version 9.0",Not supported,Not supported,Not supported,Not supported,Not supported,36700,80700,65500,0,25100
9,830520,Finger Jets: Phase Challenge,Josh Jaques,Action/Casual/Indie,"Apr 24, 2018","Control the Jets of your Spaceship with your Finger tips (keyboard, mouse or controller) as you Challenge various Phases.<br />
<br />
There are 3 phases to challenge, each with 6 levels. <br />
<br />
Dodge and burn your way past various obstacles as you collect coins and land on the landing pads.<br />
<br />
Little bit of a throw back to lunar lander, but mostly a unique concept.<br />
<br />
Can you get the best time? Check the leaderboards.",Minimum:Requires a 64-bit processor and operating systemOS: Windows Vista SP1+Processor: SSE2 instruction set supportMemory: 1024 MB RAMGraphics: DX10 (shader model 4.0)DirectX: Version 10Storage: 500 MB available space,Recommended:Requires a 64-bit processor and operating system,Minimum:Requires a 64-bit processor and operating systemOS: Mac OS X 10.9+Processor: SSE2 instruction set supportMemory: 1024 MB RAMGraphics: DX10 (shader model 4.0)Storage: 500 MB available space,Recommended:Requires a 64-bit processor and operating system,"Minimum:Requires a 64-bit processor and operating systemOS: Ubuntu 12.04+, SteamOS+Processor: DX10 (shader model 4.0)Memory: 1024 MB RAMGraphics: DX10 (shader model 4.0)Storage: 500 MB available space",Recommended:Requires a 64-bit processor and operating system,89900,86000,95900,0,0
